fno,gender,role,time,score
105,1,1,stress1,3
105,1,1,stress2,4
105,1,1,stress3,2
105,2,2,stress1,5
105,2,2,stress2,4
105,2,2,stress3,4
106,2,1,stress1,5
106,2,1,stress2,3
106,2,1,stress3,5
106,1,2,stress1,3
106,1,2,stress2,3
106,1,2,stress3,1
107,2,1,stress1,3
107,2,1,stress2,1
107,2,1,stress3,4
107,1,2,stress1,3
107,1,2,stress2,2
107,1,2,stress3,5
108,1,1,stress1,1
108,1,1,stress2,2
108,1,1,stress3,5
108,2,2,stress1,4
108,2,2,stress2,2
108,2,2,stress3,4
109,2,1,stress1,4
109,2,1,stress2,3
109,2,1,stress3,4
110,1,1,stress1,2
110,1,1,stress2,3
110,1,1,stress3,2
110,2,2,stress1,2
110,2,2,stress2,5
110,2,2,stress3,5
111,2,1,stress1,2
111,2,1,stress2,2
111,2,1,stress3,4
112,2,1,stress1,5
112,2,1,stress2,3
112,2,1,stress3,5
112,1,2,stress1,4
112,1,2,stress2,4
112,1,2,stress3,4
113,1,1,stress1,2
113,1,1,stress2,3
113,1,1,stress3,4
114,2,1,stress1,2
114,2,1,stress2,2
114,2,1,stress3,2
114,1,2,stress1,5
114,1,2,stress2,2
114,1,2,stress3,5
116,2,1,stress1,3
116,2,1,stress2,5
116,2,1,stress3,4
117,2,1,stress1,3
117,2,1,stress2,3
117,2,1,stress3,1
117,1,2,stress1,4
117,1,2,stress2,2
117,1,2,stress3,5
118,1,1,stress1,3
118,1,1,stress2,3
118,1,1,stress3,2
119,2,1,stress1,2
119,2,1,stress2,3
119,2,1,stress3,3
120,2,1,stress1,3
120,2,1,stress2,2
120,2,1,stress3,3
121,2,1,stress1,4
121,2,1,stress2,4
121,2,1,stress3,5
122,2,1,stress1,2
122,2,1,stress2,1
122,2,1,stress3,1
122,1,2,stress1,3
122,1,2,stress2,3
122,1,2,stress3,1
123,2,1,stress1,3
123,2,1,stress2,3
123,2,1,stress3,5
123,1,2,stress1,4
123,1,2,stress2,2
123,1,2,stress3,3
125,2,1,stress1,1
125,2,1,stress2,1
125,2,1,stress3,5
125,1,2,stress1,3
125,1,2,stress2,1
125,1,2,stress3,2
126,2,1,stress1,4
126,2,1,stress2,3
126,2,1,stress3,3
127,2,1,stress1,2
127,2,1,stress2,1
127,2,1,stress3,5
130,1,1,stress1,3
130,1,1,stress2,2
130,1,1,stress3,1
204,2,1,stress1,1
204,2,1,stress2,3
204,2,1,stress3,4
204,1,2,stress1,3
204,1,2,stress2,3
204,1,2,stress3,3
205,2,1,stress1,3
205,2,1,stress2,4
205,2,1,stress3,5
205,1,2,stress1,1
205,1,2,stress2,3
205,1,2,stress3,4
207,1,1,stress1,2
207,1,1,stress2,3
207,1,1,stress3,2
207,2,2,stress1,4
207,2,2,stress2,5
207,2,2,stress3,2
208,2,1,stress1,4
208,2,1,stress2,2
208,2,1,stress3,1
208,1,2,stress1,3
208,1,2,stress2,3
208,1,2,stress3,4
209,1,2,stress1,3
209,1,2,stress2,3
209,1,2,stress3,5
210,1,1,stress1,1
210,1,1,stress2,5
210,1,1,stress3,3
211,2,1,stress1,3
211,2,1,stress2,2
211,2,1,stress3,4
212,2,1,stress1,3
212,2,1,stress2,3
212,2,1,stress3,5
212,1,2,stress1,3
212,1,2,stress2,4
212,1,2,stress3,5
213,2,1,stress1,4
213,2,1,stress2,3
213,2,1,stress3,5
214,1,1,stress1,2
214,1,1,stress2,2
214,1,1,stress3,4
214,2,2,stress1,3
214,2,2,stress2,2
214,2,2,stress3,5
215,1,1,stress1,3
215,1,1,stress2,3
215,1,1,stress3,5
215,2,2,stress1,3
215,2,2,stress2,3
215,2,2,stress3,4
216,1,1,stress1,3
216,1,1,stress2,2
216,1,1,stress3,5
216,2,2,stress1,3
216,2,2,stress2,1
216,2,2,stress3,3
217,2,2,stress1,4
217,2,2,stress2,4
217,2,2,stress3,2
218,2,1,stress1,5
218,2,1,stress2,2
218,2,1,stress3,4
218,1,2,stress1,3
218,1,2,stress2,3
218,1,2,stress3,4
219,2,1,stress1,5
219,2,1,stress2,4
219,2,1,stress3,3
219,1,2,stress1,5
219,1,2,stress2,4
219,1,2,stress3,3
220,2,1,stress1,3
220,2,1,stress2,2
220,2,1,stress3,4
221,2,1,stress1,2
221,2,1,stress2,2
221,2,1,stress3,4
222,1,1,stress1,1
222,1,1,stress2,3
222,1,1,stress3,3
224,1,2,stress1,3
224,1,2,stress2,1
224,1,2,stress3,5
225,1,1,stress1,3
225,1,1,stress2,2
225,1,1,stress3,2
227,2,1,stress1,5
227,2,1,stress2,3
227,2,1,stress3,3
227,1,2,stress1,3
227,1,2,stress2,3
227,1,2,stress3,4
228,2,2,stress1,4
228,2,2,stress2,5
228,2,2,stress3,2
229,1,1,stress1,4
229,1,1,stress2,3
229,1,1,stress3,4
230,1,1,stress1,3
230,1,1,stress2,2
230,1,1,stress3,3
230,2,2,stress1,4
230,2,2,stress2,3
230,2,2,stress3,3
304,2,1,stress1,2
304,2,1,stress2,3
304,2,1,stress3,3
304,1,2,stress1,3
304,1,2,stress2,4
304,1,2,stress3,5
305,2,1,stress1,4
305,2,1,stress2,3
305,2,1,stress3,4
306,2,1,stress1,5
306,2,1,stress2,3
306,2,1,stress3,1
306,1,2,stress1,4
306,1,2,stress2,4
306,1,2,stress3,5
307,2,1,stress1,4
307,2,1,stress2,2
307,2,1,stress3,3
307,1,2,stress1,3
307,1,2,stress2,4
307,1,2,stress3,3
309,2,1,stress1,3
309,2,1,stress2,3
309,2,1,stress3,5
311,2,1,stress1,5
311,2,1,stress2,5
311,2,1,stress3,4
312,2,1,stress1,4
312,2,1,stress2,4
312,2,1,stress3,3
315,2,1,stress1,3
315,2,1,stress2,3
315,2,1,stress3,2
315,1,2,stress1,3
315,1,2,stress2,4
315,1,2,stress3,5
316,2,1,stress1,2
316,2,1,stress2,2
316,2,1,stress3,2
317,1,1,stress1,3
317,1,1,stress2,1
317,1,1,stress3,5
318,2,1,stress1,2
318,2,1,stress2,2
318,2,1,stress3,4
318,1,2,stress1,2
318,1,2,stress2,3
318,1,2,stress3,5
319,2,1,stress1,4
319,2,1,stress2,4
319,2,1,stress3,5
320,1,1,stress1,3
320,1,1,stress2,3
320,1,1,stress3,3
320,2,2,stress1,3
320,2,2,stress2,4
320,2,2,stress3,2
321,1,1,stress1,4
321,1,1,stress2,5
321,1,1,stress3,3
321,2,2,stress1,3
321,2,2,stress2,5
321,2,2,stress3,5
322,2,1,stress1,3
322,2,1,stress2,2
322,2,1,stress3,4
323,2,1,stress1,3
323,2,1,stress2,4
323,2,1,stress3,5
324,2,1,stress1,3
324,2,1,stress2,1
324,2,1,stress3,3
325,2,1,stress1,4
325,2,1,stress2,4
325,2,1,stress3,3
325,1,2,stress1,4
325,1,2,stress2,1
325,1,2,stress3,4
327,2,1,stress1,5
327,2,1,stress2,2
327,2,1,stress3,5
