fno,gender,role,stress1,stress2,cond
104,1,1,4, ,1
105,1,1,3,4,1
108,1,1,1,2,1
110,1,1,2,3,1
113,1,1,2,3,1
115,1,1,2, ,1
118,1,1,3,3,1
124,1,1,2, ,1
130,1,1,3,2,1
132,1,1,1, ,1
134,1,1,2, ,1
207,1,1,2,3,1
210,1,1,1,5,1
214,1,1,2,2,1
215,1,1,3,3,1
216,1,1,3,2,1
217,1,1,5, ,1
222,1,1,1,3,1
225,1,1,3,2,1
229,1,1,4,3,1
230,1,1,3,2,1
231,1,1,4, ,1
234,1,1,3, ,1
235,1,1,4, ,1
317,1,1,3,1,1
320,1,1,3,3,1
321,1,1,4,5,1
404,1,1,3, ,1
101,1,2,2, ,2
106,1,2,3,3,2
107,1,2,3,2,2
111,1,2,2, ,2
112,1,2,4,4,2
114,1,2,5,2,2
117,1,2,4,2,2
122,1,2,3,3,2
123,1,2,4,2,2
125,1,2,3,1,2
127,1,2,3, ,2
129,1,2,3, ,2
135,1,2,3, ,2
204,1,2,3,3,2
205,1,2,1,3,2
208,1,2,3,3,2
209,1,2,3,3,2
211,1,2,3, ,2
212,1,2,3,4,2
218,1,2,3,3,2
219,1,2,5,4,2
221,1,2,3, ,2
224,1,2,3,1,2
227,1,2,3,3,2
232,1,2,1, ,2
233,1,2,3, ,2
237,1,2,2, ,2
238,1,2,4, ,2
240,1,2,4, ,2
241,1,2,4, ,2
304,1,2,3,4,2
305,1,2,3, ,2
306,1,2,4,4,2
307,1,2,3,4,2
308,1,2,2, ,2
309,1,2,5, ,2
315,1,2,3,4,2
318,1,2,2,3,2
319,1,2,3, ,2
325,1,2,4,1,2
328,1,2,3, ,2
329,1,2,3, ,2
332,1,2,2, ,2
333,1,2,3, ,2
401,1,2,4, ,2
101,2,1,2, ,3
106,2,1,5,3,3
107,2,1,3,1,3
109,2,1,4,3,3
111,2,1,2,2,3
112,2,1,5,3,3
114,2,1,2,2,3
116,2,1,3,5,3
117,2,1,3,3,3
119,2,1,2,3,3
120,2,1,3,2,3
121,2,1,4,4,3
122,2,1,2,1,3
123,2,1,3,3,3
125,2,1,1,1,3
126,2,1,4,3,3
127,2,1,2,1,3
128,2,1,4, ,3
129,2,1,4, ,3
131,2,1,3, ,3
135,2,1,2, ,3
136,2,1,3, ,3
137,2,1,5, ,3
138,2,1,2, ,3
201,2,1,3, ,3
202,2,1,2, ,3
204,2,1,1,3,3
205,2,1,3,4,3
206,2,1,4, ,3
208,2,1,4,2,3
209,2,1,4, ,3
211,2,1,3,2,3
212,2,1,3,3,3
213,2,1,4,3,3
218,2,1,5,2,3
219,2,1,5,4,3
220,2,1,3,2,3
221,2,1,2,2,3
223,2,1,2, ,3
224,2,1,5,3,3
227,2,1,5,3,3
232,2,1,2, ,3
233,2,1,3, ,3
236,2,1,4, ,3
237,2,1,4, ,3
238,2,1,3, ,3
239,2,1,1, ,3
240,2,1,3, ,3
241,2,1,4, ,3
242,2,1,4, ,3
304,2,1,2,3,3
305,2,1,4,3,3
306,2,1,5,3,3
307,2,1,4,2,3
308,2,1,3, ,3
309,2,1,3,3,3
310,2,1,1, ,3
311,2,1,5,5,3
312,2,1,4,4,3
313,2,1,4, ,3
315,2,1,3,3,3
316,2,1,2,2,3
318,2,1,2,2,3
319,2,1,4,4,3
322,2,1,3,2,3
323,2,1,3,4,3
324,2,1,3,1,3
325,2,1,4,4,3
326,2,1,3, ,3
327,2,1,5,2,3
328,2,1,3, ,3
329,2,1,3, ,3
330,2,1,2, ,3
332,2,1,3, ,3
333,2,1,3, ,3
401,2,1,4, ,3
104,2,2,5, ,4
105,2,2,5,4,4
108,2,2,4,2,4
110,2,2,2,5,4
113,2,2,3, ,4
115,2,2,4, ,4
124,2,2,2, ,4
130,2,2,3, ,4
132,2,2,5, ,4
207,2,2,4,5,4
210,2,2,3, ,4
214,2,2,3,2,4
215,2,2,3,3,4
216,2,2,3,1,4
217,2,2,4,4,4
222,2,2,4,4,4
223,2,2, ,2,4
225,2,2,3, ,4
225,2,2,3, ,4
228,2,2,4,5,4
229,2,2, ,4,4
230,2,2,4,3,4
231,2,2,5, ,4
234,2,2,3, ,4
235,2,2, , ,4
317,2,2,5, ,4
320,2,2,3,4,4
321,2,2,3,5,4
404,2,2,4, ,4
